Disease,Description,Diet
Itching,"Itching is a common symptom of many different skin conditions. It is often caused by irritation or allergic reactions, though it may also be a sign of a more serious underlying condition such as infections, liver disease, or kidney failure.","Avoid spicy food, use cooling drinks like coconut water, and consume anti-inflammatory foods like turmeric and ginger"
Skin rash,"Skin rash refers to any change in the skin's appearance, including redness, swelling, or the development of lesions. Rashes can be caused by allergic reactions, infections, or other systemic conditions.","Consume foods rich in vitamin E, avoid processed foods, and stay hydrated with water and herbal teas"
Nodal skin eruptions,"Nodal skin eruptions are usually associated with conditions like autoimmune diseases, infections, or certain cancers. They may present as bumps or lumps under the skin, and they can be painful or itchy.","Increase intake of fruits and vegetables, and avoid oily or fatty foods"
Dischromic patches,"Dischromic patches are areas of skin discoloration, often due to hyperpigmentation or hypopigmentation. These patches can be caused by sun exposure, hormonal changes, or certain skin conditions such as vitiligo.","Eat foods rich in antioxidants such as berries and green leafy vegetables, and drink plenty of water"
Continuous sneezing,"Continuous sneezing can be caused by allergic rhinitis, respiratory infections, or environmental factors such as pollen or dust. It is often accompanied by other symptoms like a runny nose or itchy eyes.","Avoid dairy products, consume anti-inflammatory foods, and drink warm teas"
Shivering,"Shivering is a physical response to cold temperatures, but it can also occur in conditions such as fever, infections, or neurological disorders.","Eat warm easily digestible foods like soups, stews, and broths, and drink herbal teas"
Chills,"Chills are typically associated with a fever or infection, though they can also occur due to emotional stress or a sudden drop in body temperature.","Increase consumption of ginger, garlic, and honey in warm beverages, and stay hydrated"
Watering from eyes,"Watering from eyes occurs when the tear glands produce excess tears. This can be due to irritation, allergies, or conditions like conjunctivitis.","Consume foods rich in vitamin A and omega-3 fatty acids, and drink plenty of water"
Stomach pain,"Stomach pain is a common symptom of a variety of gastrointestinal conditions. It can be caused by indigestion, ulcers, infections, or inflammatory bowel disease.","Eat light bland foods like rice, bananas, and boiled vegetables, and avoid spicy foods"
Acidity,"Acidity refers to an excessive amount of acid in the stomach, leading to discomfort or a burning sensation, commonly known as heartburn.","Avoid caffeine, spicy foods, and fatty foods, and consume ginger tea or aloe vera juice"
Ulcers on tongue,"Ulcers on the tongue are open sores that can be painful and may be caused by stress, infections, or certain medical conditions.","Avoid spicy and acidic foods, and consume soft cool foods like yogurt and smoothies"
Vomiting,"Vomiting is the forceful expulsion of stomach contents and can occur due to infections, gastrointestinal issues, or as a side effect of medication.","Drink clear fluids like water, coconut water, and clear broths, and consume light foods once able"
Cough,"Coughing is a reflex action to clear the airways of irritants, mucus, or foreign substances. It can be caused by infections, allergies, or chronic respiratory conditions.","Consume honey, ginger, and turmeric, and stay hydrated with herbal teas and soups"
